cohort_month,source,n_ftd,total_spend,cac,retention_d1_pct,retention_d7_pct,retention_d30_pct,retention_d60_pct,retention_d90_pct,ngr_total,ltv_30d,ltv_90d,payback_days_est,roi_pct
2024-01,Affiliate_SEO,673,0,0.0,14.3,33.3,47.8,48.1,48.1,6131.81,7.26,7.57,,
2024-01,Facebook,384,30720,80.0,6.0,19.5,33.9,34.6,34.6,1897.36,4.08,4.12,588.0,-93.8
2024-01,Google_Search,904,85880,95.0,10.8,32.1,45.6,46.1,46.1,5482.12,4.87,5.05,585.0,-93.6
2024-01,Native_Ads,148,7400,50.0,7.4,18.2,29.1,29.1,29.1,728.81,4.07,4.1,369.0,-90.2
2024-01,Push_Network,42,840,20.0,2.4,4.8,7.1,7.1,7.1,146.19,2.9,2.9,207.0,-82.6
2024-01,TikTok,92,3680,40.0,6.5,14.1,20.7,20.7,20.7,328.67,2.98,2.98,403.0,-91.1
2024-02,Affiliate_SEO,649,0,0.0,11.4,35.7,53.6,54.1,54.2,5982.35,7.12,7.65,,
2024-02,Facebook,408,32640,80.0,11.0,28.7,41.9,42.2,42.2,2192.73,4.38,4.48,548.0,-93.3
2024-02,Google_Search,975,92625,95.0,10.9,32.7,46.7,48.0,48.0,6134.48,5.01,5.24,569.0,-93.4
2024-02,Native_Ads,176,8800,50.0,8.0,17.6,26.1,26.1,26.1,826.01,3.87,3.91,388.0,-90.6
2024-02,Push_Network,49,980,20.0,2.0,8.2,14.3,14.3,14.3,206.39,3.51,3.51,171.0,-78.9
2024-02,TikTok,105,4200,40.0,7.6,19.0,25.7,25.7,25.7,443.51,3.52,3.52,341.0,-89.4
2024-03,Affiliate_SEO,740,0,0.0,13.2,36.1,51.2,51.8,51.8,6705.82,7.2,7.55,,
2024-03,Facebook,475,38000,80.0,9.1,25.7,36.6,36.8,36.8,2515.77,4.37,4.41,549.0,-93.4
2024-03,Google_Search,959,91105,95.0,12.6,33.5,46.5,47.0,47.0,5801.63,4.89,5.04,583.0,-93.6
2024-03,Native_Ads,173,8650,50.0,4.6,17.3,26.0,26.6,26.6,783.77,3.77,3.78,398.0,-90.9
2024-03,Push_Network,44,880,20.0,2.3,9.1,15.9,15.9,15.9,172.14,3.21,3.26,187.0,-80.4
2024-03,TikTok,118,4720,40.0,2.5,10.2,13.6,13.6,13.6,430.17,3.04,3.04,395.0,-90.9
2024-04,Affiliate_SEO,643,0,0.0,11.8,34.8,50.7,51.9,51.9,6081.9,7.4,7.88,,
2024-04,Facebook,470,37600,80.0,8.9,26.6,36.0,36.4,36.4,2437.34,4.25,4.32,565.0,-93.5
2024-04,Google_Search,1076,102220,95.0,11.8,32.9,46.5,47.2,47.2,6552.0,4.78,5.07,596.0,-93.6
2024-04,Native_Ads,147,7350,50.0,6.8,17.0,27.2,27.9,27.9,671.49,3.69,3.81,407.0,-90.9
2024-04,Push_Network,56,1120,20.0,3.6,5.4,12.5,12.5,12.5,181.48,2.7,2.7,222.0,-83.8
2024-04,TikTok,105,4200,40.0,6.7,16.2,21.0,21.0,21.0,481.37,3.82,3.82,314.0,-88.5
2024-05,Affiliate_SEO,646,0,0.0,12.2,35.6,50.2,50.5,50.5,5865.12,7.35,7.57,,
2024-05,Facebook,506,40480,80.0,8.7,23.7,35.2,35.4,35.4,2603.54,4.23,4.29,567.0,-93.6
2024-05,Google_Search,1133,107635,95.0,11.7,28.5,44.6,45.1,45.1,6203.29,4.42,4.56,645.0,-94.2
2024-05,Native_Ads,154,7700,50.0,7.1,18.8,29.2,29.2,29.2,720.98,3.9,3.9,385.0,-90.6
2024-05,Push_Network,62,1240,20.0,4.8,9.7,14.5,14.5,14.5,253.64,3.41,3.41,176.0,-79.5
2024-05,TikTok,112,4480,40.0,6.2,17.0,23.2,23.2,23.2,508.55,3.78,3.78,317.0,-88.6
2024-06,Affiliate_SEO,620,0,0.0,12.9,34.7,41.0,41.0,41.0,4560.9,6.13,6.13,,
2024-06,Facebook,480,38400,80.0,6.7,22.1,26.9,26.9,26.9,2171.08,3.77,3.77,637.0,-94.3
2024-06,Google_Search,1024,97280,95.0,11.4,27.7,36.0,36.0,36.0,5031.28,4.09,4.09,697.0,-94.8
2024-06,Native_Ads,183,9150,50.0,6.0,16.9,21.3,21.3,21.3,741.07,3.37,3.37,445.0,-91.9
2024-06,Push_Network,59,1180,20.0,5.1,11.9,13.6,13.6,13.6,224.29,3.17,3.17,189.0,-81.0
2024-06,TikTok,128,5120,40.0,6.2,13.3,14.8,14.8,14.8,475.38,3.09,3.09,388.0,-90.7
2024-07,Affiliate_SEO,76,0,0.0,0.0,0.0,0.0,0.0,0.0,362.61,3.98,3.98,,
2024-07,Facebook,56,4480,80.0,0.0,0.0,0.0,0.0,0.0,158.09,2.35,2.35,1021.0,-96.5
2024-07,Google_Search,114,10830,95.0,0.0,0.0,0.0,0.0,0.0,378.66,2.77,2.77,1029.0,-96.5
2024-07,Native_Ads,25,1250,50.0,0.0,0.0,0.0,0.0,0.0,93.8,3.13,3.13,479.0,-92.5
2024-07,Push_Network,3,60,20.0,0.0,0.0,0.0,0.0,0.0,4.52,1.25,1.25,480.0,-92.5
2024-07,TikTok,8,320,40.0,0.0,0.0,0.0,0.0,0.0,32.51,3.39,3.39,354.0,-89.8
