date,source,geo,clicks,registrations,ftd,ctr,c2r,fraud_rate,approval_rate,r2d,alert_type,is_anomaly
2024-01-01,Affiliate_SEO,AU,1888,407,115,0.0378,0.2156,0.0297,0.982,0.2826,NORMAL,0
2024-01-01,Affiliate_SEO,BR,559,84,29,0.0297,0.1503,0.0125,0.984,0.3452,NORMAL,0
2024-01-01,Affiliate_SEO,CA,1459,306,82,0.0279,0.2097,0.0226,0.976,0.268,NORMAL,0
2024-01-01,Affiliate_SEO,DE,330,36,14,0.0169,0.1091,0.0273,0.981,0.3889,NORMAL,0
2024-01-01,Affiliate_SEO,IN,108,22,5,0.0106,0.2037,0.0093,0.979,0.2273,NORMAL,0
2024-01-01,Affiliate_SEO,NG,64,12,4,0.0222,0.1875,0.0156,0.982,0.3333,NORMAL,0
2024-01-01,Affiliate_SEO,PL,546,151,40,0.022,0.2766,0.0275,0.977,0.2649,NORMAL,0
2024-01-01,Facebook,AU,1250,101,16,0.0358,0.0808,0.0336,0.971,0.1584,NORMAL,0
2024-01-01,Facebook,BR,513,43,9,0.0301,0.0838,0.0175,0.965,0.2093,NORMAL,0
2024-01-01,Facebook,CA,778,63,13,0.0358,0.081,0.0231,0.974,0.2063,NORMAL,0
2024-01-01,Facebook,DE,474,45,12,0.0375,0.0949,0.019,0.971,0.2667,NORMAL,0
2024-01-01,Facebook,IN,1030,95,17,0.0418,0.0922,0.0214,0.972,0.1789,NORMAL,0
2024-01-01,Facebook,NG,1516,134,38,0.0458,0.0884,0.0376,0.97,0.2836,NORMAL,0
2024-01-01,Facebook,PL,780,62,10,0.0412,0.0795,0.0308,0.975,0.1613,NORMAL,0
2024-01-01,Google_Search,AU,813,97,29,0.0418,0.1193,0.0098,0.99,0.299,NORMAL,0
2024-01-01,Google_Search,BR,786,82,25,0.0258,0.1043,0.0051,0.991,0.3049,NORMAL,0
2024-01-01,Google_Search,CA,2868,360,89,0.0525,0.1255,0.0094,0.992,0.2472,NORMAL,0
2024-01-01,Google_Search,DE,501,71,24,0.0389,0.1417,0.014,0.99,0.338,NORMAL,0
2024-01-01,Google_Search,IN,487,60,18,0.0302,0.1232,0.0082,0.99,0.3,NORMAL,0
2024-01-01,Google_Search,NG,523,81,27,0.0315,0.1549,0.0057,0.991,0.3333,NORMAL,0
2024-01-01,Google_Search,PL,2156,390,81,0.052,0.1809,0.0083,0.992,0.2077,NORMAL,0
2024-01-01,Native_Ads,AU,178,15,1,0.015,0.0843,0.0506,0.945,0.0667,NORMAL,0
2024-01-01,Native_Ads,BR,631,36,5,0.0276,0.0571,0.0571,0.94,0.1389,NORMAL,0
2024-01-01,Native_Ads,CA,971,77,11,0.0276,0.0793,0.069,0.946,0.1429,NORMAL,0
2024-01-01,Native_Ads,DE,258,18,4,0.0192,0.0698,0.031,0.952,0.2222,NORMAL,0
2024-01-01,Native_Ads,IN,375,26,6,0.0224,0.0693,0.0533,0.939,0.2308,NORMAL,0
2024-01-01,Native_Ads,NG,97,5,1,0.0125,0.0515,0.0825,0.937,0.2,NORMAL,0
2024-01-01,Native_Ads,PL,524,28,8,0.0184,0.0534,0.0324,0.93,0.2857,NORMAL,0
2024-01-01,Push_Network,AU,465,21,3,0.0145,0.0452,0.1032,0.837,0.1429,HIGH_FRAUD_RATE,1
2024-01-01,Push_Network,BR,434,17,1,0.0164,0.0392,0.0876,0.879,0.0588,NORMAL,0
2024-01-01,Push_Network,CA,899,44,6,0.023,0.0489,0.1802,0.874,0.1364,HIGH_FRAUD_RATE,1
2024-01-01,Push_Network,DE,915,35,3,0.0103,0.0383,0.165,0.862,0.0857,HIGH_FRAUD_RATE,1
2024-01-01,Push_Network,IN,864,33,3,0.0358,0.0382,0.1991,0.856,0.0909,HIGH_FRAUD_RATE,1
2024-01-01,Push_Network,NG,317,12,1,0.0219,0.0379,0.1956,0.835,0.0833,HIGH_FRAUD_RATE,1
2024-01-01,Push_Network,PL,757,16,2,0.0262,0.0211,0.1836,0.862,0.125,HIGH_FRAUD_RATE,1
2024-01-01,TikTok,AU,542,29,4,0.0256,0.0535,0.0572,0.914,0.1379,NORMAL,0
2024-01-01,TikTok,BR,254,11,1,0.0089,0.0433,0.0512,0.917,0.0909,NORMAL,0
2024-01-01,TikTok,CA,417,17,2,0.0238,0.0408,0.0408,0.906,0.1176,NORMAL,0
2024-01-01,TikTok,DE,267,17,3,0.0102,0.0637,0.1049,0.932,0.1765,HIGH_FRAUD_RATE,1
2024-01-01,TikTok,IN,417,29,4,0.0262,0.0695,0.0408,0.908,0.1379,NORMAL,0
2024-01-01,TikTok,NG,1538,113,15,0.0194,0.0735,0.0949,0.91,0.1327,NORMAL,0
2024-01-01,TikTok,PL,305,15,2,0.028,0.0492,0.0754,0.913,0.1333,NORMAL,0
2024-01-02,Affiliate_SEO,AU,2051,470,148,0.0274,0.2292,0.0263,0.98,0.3149,NORMAL,0
2024-01-02,Affiliate_SEO,BR,382,92,29,0.0126,0.2408,0.0183,0.976,0.3152,NORMAL,0
2024-01-02,Affiliate_SEO,CA,373,77,16,0.0152,0.2064,0.0107,0.978,0.2078,NORMAL,0
2024-01-02,Affiliate_SEO,DE,437,94,30,0.0193,0.2151,0.0137,0.976,0.3191,NORMAL,0
2024-01-02,Affiliate_SEO,IN,61,17,4,0.0067,0.2787,0.0,0.978,0.2353,NORMAL,0
2024-01-02,Affiliate_SEO,NG,95,18,6,0.023,0.1895,0.0211,0.979,0.3333,NORMAL,0
2024-01-02,Affiliate_SEO,PL,238,50,16,0.0188,0.2101,0.0252,0.977,0.32,NORMAL,0
2024-01-02,Facebook,AU,1483,103,28,0.0522,0.0695,0.0297,0.973,0.2718,NORMAL,0
2024-01-02,Facebook,BR,1075,59,15,0.03,0.0549,0.0223,0.974,0.2542,NORMAL,0
2024-01-02,Facebook,CA,1029,75,15,0.0341,0.0729,0.034,0.973,0.2,NORMAL,0
2024-01-02,Facebook,DE,520,31,8,0.0238,0.0596,0.0327,0.967,0.2581,NORMAL,0
2024-01-02,Facebook,IN,478,56,16,0.0397,0.1172,0.0167,0.968,0.2857,NORMAL,0
2024-01-02,Facebook,NG,1949,121,30,0.048,0.0621,0.0298,0.968,0.2479,NORMAL,0
2024-01-02,Facebook,PL,460,29,9,0.0297,0.063,0.037,0.971,0.3103,NORMAL,0
2024-01-02,Google_Search,AU,147,21,8,0.012,0.1429,0.0068,0.991,0.381,NORMAL,0
2024-01-02,Google_Search,BR,939,123,42,0.0522,0.131,0.0106,0.99,0.3415,NORMAL,0
2024-01-02,Google_Search,CA,490,80,17,0.0339,0.1633,0.0082,0.992,0.2125,NORMAL,0
2024-01-02,Google_Search,DE,375,64,19,0.0419,0.1707,0.008,0.989,0.2969,NORMAL,0
2024-01-02,Google_Search,IN,862,169,45,0.0326,0.1961,0.0046,0.99,0.2663,NORMAL,0
2024-01-02,Google_Search,NG,1046,112,21,0.0424,0.1071,0.0124,0.99,0.1875,NORMAL,0
2024-01-02,Google_Search,PL,952,166,41,0.0371,0.1744,0.0116,0.991,0.247,NORMAL,0
2024-01-02,Native_Ads,AU,127,7,1,0.0174,0.0551,0.063,0.94,0.1429,NORMAL,0
2024-01-02,Native_Ads,BR,585,32,7,0.0192,0.0547,0.0615,0.949,0.2188,NORMAL,0
2024-01-02,Native_Ads,CA,591,47,7,0.0139,0.0795,0.0525,0.929,0.1489,NORMAL,0
2024-01-02,Native_Ads,DE,490,41,5,0.0282,0.0837,0.0408,0.936,0.122,NORMAL,0
