month,geo,tier,source,impressions,clicks,spend,registrations,ftd,ngr,fraud_clicks,approval_rate,ctr,cpc,cpa,c2r,r2d,roi_pct,roas,fraud_rate
2024-01,AU,T1,Affiliate_SEO,1050595,23312,0.0,5388,1798,207611.58,485,0.98,0.0222,0.0,0.0,0.2311,0.3337,,,0.0208
2024-01,AU,T1,Facebook,796770,26631,6919.7300000000005,2346,566,41788.17,763,0.97,0.0334,0.26,12.23,0.0881,0.2413,503.9,6.039,0.0287
2024-01,AU,T1,Google_Search,836389,27656,19281.36,4169,1213,114266.0,252,0.99,0.0331,0.697,15.9,0.1507,0.291,492.6,5.926,0.0091
2024-01,AU,T1,Native_Ads,749982,16148,3497.71,1137,221,13831.5,837,0.942,0.0215,0.217,15.83,0.0704,0.1944,295.4,3.954,0.0518
2024-01,AU,T1,Push_Network,852846,16275,1286.57,656,59,1893.56,2065,0.863,0.0191,0.079,21.81,0.0403,0.0899,47.2,1.472,0.1269
2024-01,AU,T1,TikTok,759977,15773,4316.02,917,120,5268.36,1196,0.92,0.0208,0.274,35.97,0.0581,0.1309,22.1,1.221,0.0758
2024-01,BR,T2,Affiliate_SEO,344909,6435,0.0,1253,401,17066.61,111,0.98,0.0187,0.0,0.0,0.1947,0.32,,,0.0172
2024-01,BR,T2,Facebook,762625,24230,2433.38,2157,505,14349.79,777,0.97,0.0318,0.1,4.82,0.089,0.2341,489.7,5.897,0.0321
2024-01,BR,T2,Google_Search,721657,25673,6055.89,3796,1082,40694.18,269,0.99,0.0356,0.236,5.6,0.1479,0.285,572.0,6.72,0.0105
2024-01,BR,T2,Native_Ads,808708,15561,1440.09,1079,201,5479.91,866,0.941,0.0192,0.093,7.16,0.0693,0.1863,280.5,3.805,0.0557
2024-01,BR,T2,Push_Network,737677,13311,421.95,515,48,759.36,1933,0.865,0.018,0.032,8.79,0.0387,0.0932,80.0,1.8,0.1452
2024-01,BR,T2,TikTok,971616,16946,2104.69,933,129,2274.37,1510,0.922,0.0174,0.124,16.32,0.0551,0.1383,8.1,1.081,0.0891
2024-01,CA,T1,Affiliate_SEO,1149849,23356,0.0,4992,1742,198952.39,471,0.98,0.0203,0.0,0.0,0.2137,0.349,,,0.0202
2024-01,CA,T1,Facebook,711716,24968,6441.4,2278,517,38743.3,727,0.971,0.0351,0.258,12.46,0.0912,0.227,501.5,6.015,0.0291
