player_id,source,campaign,geo,tier,reg_date,ftd_date,ftd_amount,device,is_fraud
P0060957,Native_Ads,Native_Review_Article,PL,T2,2024-03-24,2024-03-27,35.75,desktop,1
P0085888,Facebook,FB_Casino_CreativeA,AU,T1,2024-04-27,2024-05-02,73.87,tablet,0
P0067155,Push_Network,Push_iGaming_Broad,CA,T1,2024-04-01,2024-04-05,109.14,tablet,0
P0116464,Google_Search,GG_Casino_KW_Brand,BR,T2,2024-06-08,2024-06-09,14.61,mobile,0
P0103285,Facebook,FB_Sports_Banner,CA,T1,2024-05-20,2024-05-23,37.06,mobile,0
P0037666,Affiliate_SEO,SEO_BonusGuide_BR,CA,T1,2024-02-21,2024-02-22,38.09,desktop,0
P0074428,Google_Search,GG_Casino_KW_Brand,PL,T2,2024-04-14,2024-04-14,98.66,mobile,0
P0021418,Facebook,FB_Casino_CreativeA,BR,T2,2024-01-30,2024-02-02,26.63,mobile,0
P0049651,TikTok,TT_Sports_Short,CA,T1,2024-03-09,2024-03-14,106.84,mobile,0
P0025720,Google_Search,GG_Sports_Betting,IN,T3,2024-02-06,2024-02-09,14.36,mobile,0
P0044443,Google_Search,GG_Sports_Betting,PL,T2,2024-03-02,2024-03-03,17.01,mobile,0
P0063408,Push_Network,Push_Casino_Retarget,NG,T3,2024-03-27,2024-04-01,9.68,mobile,0
P0028730,Affiliate_SEO,SEO_BonusGuide_BR,DE,T1,2024-02-10,2024-02-13,94.27,desktop,0
P0090105,Affiliate_SEO,SEO_CasinoReview_DE,BR,T2,2024-05-03,2024-05-04,9.0,mobile,0
P0108892,Google_Search,GG_Casino_KW_Brand,BR,T2,2024-05-29,2024-06-02,67.36,desktop,0
P0032193,Affiliate_SEO,SEO_BonusGuide_BR,CA,T1,2024-02-14,2024-02-19,149.42,tablet,0
P0047213,Google_Search,GG_Sports_Betting,NG,T3,2024-03-06,2024-03-06,5.59,tablet,0
P0040490,Facebook,FB_Slots_Video,DE,T1,2024-02-26,2024-03-02,60.34,desktop,0
P0074736,TikTok,TT_Casino_UGC,AU,T1,2024-04-13,2024-04-16,229.25,tablet,0
P0100218,Google_Search,GG_Slots_KW_Generic,NG,T3,2024-05-16,2024-05-16,19.44,desktop,0
P0045181,Google_Search,GG_Slots_KW_Generic,DE,T1,2024-03-04,2024-03-05,96.79,tablet,0
P0016444,Native_Ads,Native_Bonus_Landing,AU,T1,2024-01-23,2024-01-23,115.56,mobile,0
P0034854,Google_Search,GG_Casino_KW_Brand,NG,T3,2024-02-19,2024-02-21,24.55,tablet,0
P0111258,Facebook,FB_Slots_Video,IN,T3,2024-05-31,2024-06-05,11.48,mobile,0
P0035652,Google_Search,GG_Casino_KW_Brand,PL,T2,2024-02-21,2024-02-24,87.09,desktop,0
P0050169,Facebook,FB_Casino_CreativeA,IN,T3,2024-03-11,2024-03-16,44.03,desktop,0
P0075719,Affiliate_SEO,SEO_BonusGuide_BR,BR,T2,2024-04-14,2024-04-16,35.98,tablet,0
P0062034,Affiliate_SEO,SEO_CasinoReview_DE,CA,T1,2024-03-27,2024-03-28,45.61,tablet,0
P0022002,Affiliate_SEO,SEO_BonusGuide_BR,AU,T1,2024-01-30,2024-02-04,41.45,mobile,0
P0109287,Google_Search,GG_Slots_KW_Generic,IN,T3,2024-05-29,2024-06-01,23.77,desktop,0
P0113930,Google_Search,GG_Sports_Betting,IN,T3,2024-06-04,2024-06-06,18.92,tablet,0
P0036931,Facebook,FB_Slots_Video,CA,T1,2024-02-22,2024-02-23,39.84,tablet,0
P0064602,Google_Search,GG_Slots_KW_Generic,CA,T1,2024-03-29,2024-04-03,78.79,tablet,0
P0094998,Google_Search,GG_Sports_Betting,PL,T2,2024-05-10,2024-05-10,90.49,tablet,0
P0068504,Affiliate_SEO,SEO_CasinoReview_DE,DE,T1,2024-04-04,2024-04-09,127.24,mobile,0
