date,source,campaign,geo,tier,impressions,clicks,ctr,spend,cpc,registrations,ftd,c2r,r2d,ngr,cpa,roi_pct,fraud_clicks,fraud_regs,suspicious_ftd,approval_rate
2024-01-01,Facebook,FB_Sports_Banner,DE,T1,12632,474,0.0375,120.35,0.254,45,12,0.0949,0.2667,896.24,10.03,644.7,9,0,0,0.971
2024-01-01,Facebook,FB_Casino_CreativeA,BR,T2,17022,513,0.0301,48.32,0.094,43,9,0.0838,0.2093,402.16,5.37,732.3,9,0,0,0.965
2024-01-01,Facebook,FB_Slots_Video,PL,T2,18947,780,0.0412,74.17,0.095,62,10,0.0795,0.1613,321.55,7.42,333.5,24,0,0,0.975
2024-01-01,Facebook,FB_Casino_CreativeA,NG,T3,33066,1516,0.0458,28.2,0.019,134,38,0.0884,0.2836,535.54,0.74,1799.1,57,1,0,0.97
2024-01-01,Facebook,FB_Slots_Video,CA,T1,21736,778,0.0358,183.0,0.235,63,13,0.081,0.2063,971.08,14.08,430.6,18,0,0,0.974
2024-01-01,Facebook,FB_Slots_Video,AU,T1,34946,1250,0.0358,270.69,0.217,101,16,0.0808,0.1584,1173.58,16.92,333.6,42,0,0,0.971
2024-01-01,Facebook,FB_Casino_CreativeA,IN,T3,24665,1030,0.0418,34.72,0.034,95,17,0.0922,0.1789,380.71,2.04,996.5,22,1,0,0.972
2024-01-01,Google_Search,GG_Casino_KW_Brand,DE,T1,12894,501,0.0389,363.12,0.725,71,24,0.1417,0.338,2584.19,15.13,611.7,7,0,0,0.99
2024-01-01,Google_Search,GG_Casino_KW_Brand,BR,T2,30506,786,0.0258,286.23,0.364,82,25,0.1043,0.3049,806.59,11.45,181.8,4,0,0,0.991
2024-01-01,Google_Search,GG_Casino_KW_Brand,PL,T2,41489,2156,0.052,418.5,0.194,390,81,0.1809,0.2077,3844.22,5.17,818.6,18,1,0,0.992
2024-01-01,Google_Search,GG_Casino_KW_Brand,NG,T3,16616,523,0.0315,41.29,0.079,81,27,0.1549,0.3333,584.47,1.53,1315.5,3,0,0,0.991
2024-01-01,Google_Search,GG_Slots_KW_Generic,CA,T1,54613,2868,0.0525,1468.45,0.512,360,89,0.1255,0.2472,8275.45,16.5,463.6,27,0,0,0.992
2024-01-01,Google_Search,GG_Slots_KW_Generic,AU,T1,19447,813,0.0418,381.76,0.47,97,29,0.1193,0.299,2989.39,13.16,683.1,8,0,0,0.99
2024-01-01,Google_Search,GG_Sports_Betting,IN,T3,16106,487,0.0302,52.08,0.107,60,18,0.1232,0.3,210.34,2.89,303.9,4,0,0,0.99
2024-01-01,Push_Network,Push_Casino_Retarget,DE,T1,88600,915,0.0103,139.77,0.153,35,3,0.0383,0.0857,87.55,46.59,-37.4,151,1,0,0.862
2024-01-01,Push_Network,Push_Casino_Retarget,BR,T2,26517,434,0.0164,16.76,0.039,17,1,0.0392,0.0588,22.14,16.76,32.1,38,0,0,0.879
2024-01-01,Push_Network,Push_Casino_Retarget,PL,T2,28904,757,0.0262,18.71,0.025,16,2,0.0211,0.125,29.28,9.36,56.5,139,0,0,0.862
2024-01-01,Push_Network,Push_iGaming_Broad,NG,T3,14446,317,0.0219,2.31,0.007,12,1,0.0379,0.0833,2.0,2.31,-13.4,62,0,0,0.835
2024-01-01,Push_Network,Push_Casino_Retarget,CA,T1,39021,899,0.023,55.68,0.062,44,6,0.0489,0.1364,195.94,9.28,251.9,162,1,0,0.874
2024-01-01,Push_Network,Push_iGaming_Broad,AU,T1,32160,465,0.0145,43.75,0.094,21,3,0.0452,0.1429,103.52,14.58,136.6,48,0,0,0.837
2024-01-01,Push_Network,Push_iGaming_Broad,IN,T3,24107,864,0.0358,5.72,0.007,33,3,0.0382,0.0909,60.77,1.91,962.4,172,1,0,0.856
2024-01-01,Native_Ads,Native_Review_Article,DE,T1,13429,258,0.0192,79.1,0.307,18,4,0.0698,0.2222,210.29,19.77,165.9,8,0,0,0.952
2024-01-01,Native_Ads,Native_Bonus_Landing,BR,T2,22848,631,0.0276,38.14,0.06,36,5,0.0571,0.1389,114.02,7.63,199.0,36,0,0,0.94
2024-01-01,Native_Ads,Native_Review_Article,PL,T2,28519,524,0.0184,73.04,0.139,28,8,0.0534,0.2857,265.12,9.13,263.0,17,0,0,0.93
2024-01-01,Native_Ads,Native_Bonus_Landing,NG,T3,7791,97,0.0125,3.92,0.04,5,1,0.0515,0.2,11.65,3.92,197.2,8,0,0,0.937
2024-01-01,Native_Ads,Native_Bonus_Landing,CA,T1,35166,971,0.0276,171.02,0.176,77,11,0.0793,0.1429,638.29,15.55,273.2,67,1,0,0.946
2024-01-01,Native_Ads,Native_Bonus_Landing,AU,T1,11840,178,0.015,54.91,0.308,15,1,0.0843,0.0667,66.72,54.91,21.5,9,0,0,0.945
2024-01-01,Native_Ads,Native_Review_Article,IN,T3,16773,375,0.0224,14.27,0.038,26,6,0.0693,0.2308,75.48,2.38,428.9,20,0,0,0.939
2024-01-01,TikTok,TT_Casino_UGC,DE,T1,26207,267,0.0102,155.93,0.584,17,3,0.0637,0.1765,158.89,51.98,1.9,28,0,0,0.932
2024-01-01,TikTok,TT_Sports_Short,BR,T2,28428,254,0.0089,67.12,0.264,11,1,0.0433,0.0909,17.99,67.12,-73.2,13,0,0,0.917
2024-01-01,TikTok,TT_Casino_UGC,PL,T2,10901,305,0.028,27.57,0.09,15,2,0.0492,0.1333,18.61,13.79,-32.5,23,0,0,0.913
2024-01-01,TikTok,TT_Casino_UGC,NG,T3,79224,1538,0.0194,41.14,0.027,113,15,0.0735,0.1327,95.8,2.74,132.9,146,2,0,0.91
2024-01-01,TikTok,TT_Casino_UGC,CA,T1,17555,417,0.0238,111.41,0.267,17,2,0.0408,0.1176,101.98,55.7,-8.5,17,0,0,0.906
2024-01-01,TikTok,TT_Sports_Short,AU,T1,21158,542,0.0256,133.07,0.246,29,4,0.0535,0.1379,158.54,33.27,19.1,31,0,0,0.914
2024-01-01,TikTok,TT_Casino_UGC,IN,T3,15910,417,0.0262,14.49,0.035,29,4,0.0695,0.1379,8.0,3.62,-44.8,17,0,0,0.908
2024-01-01,Affiliate_SEO,SEO_BonusGuide_BR,DE,T1,19504,330,0.0169,0.0,,36,14,0.1091,0.3889,1754.04,,,9,0,0,0.981
2024-01-01,Affiliate_SEO,SEO_CasinoReview_DE,BR,T2,18837,559,0.0297,0.0,,84,29,0.1503,0.3452,1220.38,,,7,0,0,0.984
2024-01-01,Affiliate_SEO,SEO_CasinoReview_DE,PL,T2,24785,546,0.022,0.0,,151,40,0.2766,0.2649,1902.06,,,15,1,0,0.977
2024-01-01,Affiliate_SEO,SEO_BonusGuide_BR,NG,T3,2884,64,0.0222,0.0,,12,4,0.1875,0.3333,8.0,,,1,0,0,0.982
2024-01-01,Affiliate_SEO,SEO_BonusGuide_BR,CA,T1,52378,1459,0.0279,0.0,,306,82,0.2097,0.268,9400.38,,,33,1,0,0.976
2024-01-01,Affiliate_SEO,SEO_BonusGuide_BR,AU,T1,49983,1888,0.0378,0.0,,407,115,0.2156,0.2826,13649.73,,,56,3,0,0.982
2024-01-01,Affiliate_SEO,SEO_BonusGuide_BR,IN,T3,10173,108,0.0106,0.0,,22,5,0.2037,0.2273,84.29,,,1,0,0,0.979
2024-01-02,Facebook,FB_Casino_CreativeA,DE,T1,21808,520,0.0238,205.62,0.395,31,8,0.0596,0.2581,790.81,25.7,284.6,17,0,0,0.967
2024-01-02,Facebook,FB_Sports_Banner,BR,T2,35790,1075,0.03,105.46,0.098,59,15,0.0549,0.2542,629.74,7.03,497.1,24,0,0,0.974
2024-01-02,Facebook,FB_Slots_Video,PL,T2,15506,460,0.0297,70.04,0.152,29,9,0.063,0.3103,263.24,7.78,275.8,17,0,0,0.971
